1.267, 6.5
1.7, 5.7
1.7, 8.433
1.767, 3.833
1.767, 7.467
1.867, 4.933
2.1, 4.4
2.133, 3.000
2.133, 5.367
2.2, 6.3
2.733, 4.867
2.8, 6.000
2.867, 3.633
2.9, 3.367
3.367, 2.3
3.633, 2.833
3.833, 3.867
4.067, 3.067
4.267, 2.767
4.667, 1.967
4.8, 2.5
4.833, 3.267
5.533, 2.5
5.6, 1.667
5.967, 3.6
6.033, 2.133
6.067, 2.8
6.433, 2.133
6.733, 2.433
6.767, 2.8
6.8, 3.667
7.533, 3.4
7.6, 3.333
7.6, 4.633
7.767, 4.3
8.067, 5.533
8.167, 3.033
8.167, 4.6
8.467, 4.1
8.533, 5.1
8.6, 6.133
8.9, 3.5
9.000, 3.033
9.067, 5.533
9.1, 7.033
9.167, 4.9
9.3, 6.033
9.467, 4.3
9.533, 5.933
